aleexisampamp	'ali:ks,Isa#mp,amp
alejandro	a#lI2dZ'androU
alert	a#l'3:t
alesha	a#l'ES@
alevels	a#l'Ev@Lz
alex	'alIks
alexa	a#l'Eks@
alexander	,alIgz'aand3
alexis	a#l'EksIs
alexisive	a#l'EksaIs,Iv
alexisnicolehodnett	a#l'EksIsn,IkoUlh,0dnI2t
alexiss	a#l'EksIs
alfredo	alfr'eIdoU
algebra	'aldZI2br@
algo	'algoU
algood	'algUd
algud	'algVd
alguien	'algwi@n
alice	'alIs
alicia	a#l'i:S@
alien	'eIli@n
aliens	'eIli@nz
aligator	a#lI2g'eIt3
aligators	a#lI2g'eIt3z
alike	a#l'aIk
alil	'alIl
alisa	'alIs@
alittle	'alIt@L
alive	a#l'aIv
alivee	a#l'aIvi:
alivve	'alIv
alix	'alIks
alixs	'alIksz
all	'O:l
allan	'al@n
allegiance	a#l'i:dZ@ns
allen	'al@n
allergic	a#l'3:dZIk
allergies	'al3dZIz
allergiesr	'al3dZ,Is3
alleys	'alIz
alli	'ali
allid	'alId
alligence	'alIdZ@ns
allinaa	'alIn,A:
allinall	'alIn,O:l
alljust	O:ldZ'Vst
allow	a#l'aU
allowance	a#l'aU@ns
allowd	a#l'aUd
allowed	a#l'aUd
allowence	a#l'aU@ns
allowing	a#l'aUIN
allr	'al3
allreadyy	O:lr'EdI;i
allrighhtyy	O:lr'IghtI;i
allstate	O:lst'eIt
allthe	'O:lD
alltime	O:lt'aIm
allwhat	O:lw'0t
allyson	'alIs@n
almighty	0lm'aIti
almond	'0lm@nd
almonds	'0lm@ndz
almost	'O:lmoUst
alohawell	a#l'oUhO:l
aloho	a#l'oUhoU
alone	a#l'oUn
alonee	a#l'oUni:
alonequot	a#l'oUnkw0t
aloner	a#l'oUn3
along	a#l'0N
alongr	a#l'0Ng3
alook	a#l'Uk
alot	a#l'0t
alotr	a#l'0t3
alott	a#l'0t
alotta	a#l'0t@
alowlife	a#l'oUlaIf
alphabet	'alf@b,Et
alphabetical	,alf@b'EtIk@L
alreadi	O:lr'i:dI
already	O:lr'Edi
alreadyd	O:lr'EdId
alreadyr	O:lr'Ed@
alreadyy	O:lr'EdI;i
alrght	O:l'@t
alright	O:lr'aIt
alrightt	O:lr'aIt
alrighty	O:lr'aIti
alriqhtt	O:lr'Ikht
alrite	O:lr'aIt
alrounder	O:lr'aUnd3
alseep	'alsi:p
also	'0lsoU
alsways	'alsweIz
alt	'0lt
alternative	O:lt'3:n@t,Iv
although	0lD'oU
altogether	,O:lt@g'ED3
aluminum	a#l'u:mIn@m
alvin	'alvIn
always	'O:lweIz
alwaysr	'OlweIs3
alwayss	'OlweIs
alwyss	'OlwIs
alxeander	a#lks'i:nd3
alyssa	a#l'Is@
alzhiemers	a#lZ'Im3z
am	'am
amaberrbuh	'ama#b3r-@b,V
amarte	'amA@t
amature	'am@tS,U@
amaze	a#m'eIz
amazed	a#m'eIzd
amazes	a#m'eIzI2z
amazin	a#m'eIzIn
amazing	a#m'eIzIN
amazingd	a#m'eIzINd
amazingg	a#m'eIzINg
amazingly	a#m'eIzINlI
amazingness	a#m'eIzINn@s
amazingothersnot	a#m'eIzINg,VD3sn,0t
amazon	'am@z@n
amb	'am
amber	'amb3
amberr	'ambe@
ambidextrous	,ambId'Ekstr@s
ambitions	amb'IS@nz
ambulance	'ambjUl@ns
ambulancer	'ambjUl@ns3
amd	,eI,Emd'i:
amendment	a#m'Endm@nt
ameretto	,am3r'EtoU
america	a#m'ErIk@
american	a#m'ErIk@n
americano	a#m,ErIk'A:noU
americans	a#m'ErIk@nz
americar	a#m'ErIk,A@
americas	a#m'ErIk@z
amidst	a#m'Idst
amigos	a#m'i:goUz
amiix	'amI;,Iks
amillion	am'Ili@n
amm	'am
ammbbaa	'ambA:
ammendment	a#m'Endm@nt
ammusement	'amju:sm@nt
amnesia	amn'i:zi@
amno	'amnoU
amo	'A:moU
among	a#m'VN
amor	'am3
amount	a#m'aUnt
amounts	a#m'aUnts
amout	'amaUt
amp	'amp
ampamp	'ampamp
ampampfixing	'ampa#mpf,IksIN
ampamphbm	'ampamfb@m
ampampim	'ampampI2m
ampampit	'ampa#mp,It
ampampr	'ampamp3
ampampwhats	'ampa#mpw,0ts
ampchips	'amptSIps
ampeverybody	'ampI2vrI2b,0di
ampguess	'ampgEs
amphibians	amf'Ibi@nz
amphitheater	'amfIT,i@t3
ampi	'ampi
ampnd	'ampnd
amputated	'ampju:t,eItI2d
amquot	'amkw0t
amricans	'amrIk@nz
amuse	a#mj'u:s
amusement	a#mj'u:sm@nt
amusment	'am@sm@nt
amyspace	'amIsp,eIs
amywhere	'amIw,e@
amzing	'amzIN
an	'a#n
ana	'A:n@
anagram	'ana#gr,am
anagrams	'ana#gr,amz
anal	'eIn@L
analogue	'an@l,0g
anaracy	'ana#r@si
anarchy	'anA@ki
anatomy	a#n'at@mI
ancestors	'ansEst3z
ancient	'eInS@nt
and	'and
anda	'and@
andas	'and@z
andd	'and
andmyhead	'andmIh,Ed
andor	'ando@
andquot	'andkw0t
andr	'and3
andrea	'andri@
andrew	'andru:
andy	'andi
andyuhrlikespammingmyfs	'andju:h@l,aIkspa#m,INmIfs
anerine	'an3r,i:n
angalina	,aNga#l'i:n@
angel	'eIndZ@L
angela	'andZ@l@
angeles	'andZ@l,i:s
angeli	'andZI2l,i
angelica	andZ'ElIk@
angelicaa	'andZI2l,IkA:
angelina	,andZI2l'i:n@
angelo	andZ'i:loU
angels	'eIndZ@Lz
anger	'aNg3
angerfrustration	,aNg3fr@str'eIS@n
angie	'andZi
angiee	'aNgI
angle	'aNg@L
angles	'aNg@Lz
angry	'aNgri
angst	'aNst
angsty	'aNsti
animal	'anIm@L
animals	'anIm@Lz
animalsquot	'anIm,alskw0t
anime	'anIm,eI
anistonvince	'anIst,0nvIns
anit	'anIt
anjalica	andZ'alIk@
ankle	'aNk@L
ankles	'aNk@Lz
anna	'an@
annabel	'an@b@L
annd	'and
anndd	'and
anne	'an
anniston	'anIst@n
anniversary	,anIv'3:s@r,i
anniversaryd	'anIv3s,A@r-Id
annonimus	'an@n,Im@s
annonmous	'an0nm@s
annonmouss	'an@nm,aUs
annonomous	'an@n@m@s
announcement	a#n'aUnsm@nt
annoy	a#n'OI
annoyance	a#n'OI@ns
annoyed	a#n'OId
annoyes	a#n'OIz
annoying	a#n'OIIN
annoys	a#n'OIz
annyoing	'anI;,oUIN
anomalously	a#n'0m@l@sli
anominous	a#n'0mIn@s
anon	a#n'0n
anond	'an0nd
anonmous	'an0nm@s
anonomous	'an@n@m@s
anonomouss	'an@n,0maUs
anons	a#n'0nz
anonymity	,an@n'ImI2t,i
anonymous	a#n'0n@m@s
anonymoushaha	a#n,0n@maUS'A:h@
anonymoushowever	a#n'0n@m,aUSoU,Ev3
anonymously	a#n'0n@m@sli
anonymouslyquot	a#n'0n@m,aUslIkw,0t
anonymousness	a#n'0n@m@sn@s
anonymousr	a#n'0n@m,aUs3
anonymouss	a#n'0n@m,aUs
anonymus	a#n'0n@m@s
anorexic	,ano@r'EksIk
anorexics	,ano@r'EksIks
anotha	an'0T@
another	a#n'VD3
anothers	a#n'VD3z
anouther	'anaUD3
ansa	'ans@
answer	'aans3
answeraposd	'aans3r,ap0sd
answerd	'aans3:d
answered	'aans3d
answerer	'aans3r-3
answering	'aans3r-IN
answermobey	'aans3m,oUbeI
answerr	'aanse@
answers	'aans3z
answerslol	'aans3sl,0l
answrd	'ansU@d
antalope	'anta#l,oUp
anthem	'anT@m
anthony	'ant@n,i
anthonyformsprings	'anT@n,Ifo@msprINz
anti	'anti
anticeptic	,antIs'EptIk
anticipate	ant'IsI2p,eIt
anticipated	ant'IsI2p,eItI2d
anticipation	ant'IsIp'eIS@n
antigua	ant'i:g@
antonio	ant'oUnI2;,oU
ants	'ants
anublance	'anVbl@ns
any	'Eni
anybodi	,EnI2b'oUdI
anybody	'EnI2b,0di
anybodyr	'EnI2b,0d@
anygirl	'EnI2g,3:l
anyh	'EnI2
anyi	'EnI2;,i
anymo	'EnI2m,oU
anymore	,EnI2m'o@
anymoremust	'EnI2m,o@mVst
anymous	'EnI2m@s
anyone	'EnIw,0n
anyoneeveryone	'EnI2;,oUnI2vrI2;,oUn
anyones	'EnIw,0nz
anyoneus	'EnI2;,oUnI2;@s
anythang	'EnI2T,aN
anythanqq	'EnI2T,ank
anythin	'EnI2T,In
anythinclude	'EnI2T,INklu:d
anything	'EnI2T,IN
anythingd	'EnI2T,INd
anythingg	'EnI2T,INg
anythingp	'EnI2T,INp
anythingquot	'EnI2T,INkw0t
anytime	'EnI2t,aIm
anyting	'EnI2tIN
anytyme	'EnI2t,aIm
anywaays	'EnI2w,A:r-Iz
anyway	'EnI2w,eI
anyways	'EnI2w,eIz
anywayy	'EnI2w,eIi
anywayyi	'EnI2w,eIji
anywayythat	'EnI2w,eIIT,at
anywayz	'EnI2w,eIz
anywher	'EnI2w3
anywhere	'EnI2w,e@
anywhereand	'EnI2w,e@r-and
anywhoo	'EnI2w,u:
aol	,eI,oU'El
aorere	eI'o@r-3
ap	'ap
apa	a#p'a
apart	a#p'A@t
apartment	a#p'A@tm@nt
apartments	a#p'A@tm@nts
ape	'eIp
apegada	,eIpI2g'A:d@
apes	'eIps
apologise	a#p'0l@dZ,aIz
apologize	a#p'0l@dZ,aIz
apology	a#p'0l@dZi
apos	a#p'oUz
aposapos	a#p@s'A:poUz
aposask	a#p'0saask
aposbabyapos	a#p,0sbeIbI;'A:poUz
aposbeingapos	a#p,0sbi:;I2N'A:poUz
aposbiggerapos	a#p,0sbIg3r'A:poUz
aposbout	a#p'0sbaUt
aposbrokerapos	a#p,0sbroUkr'A:poUz
aposcause	a#p'0skO:z
aposcheating	a#p'0stSi:tIN
aposcheatingapos	a#p,0stSi:tINg'A:poUz
aposclassicapos	a#p,0skla#sIk'A:poUz
aposcoined	a#p'0skOInd
aposconversationsapos	a#p,0sk@nv3s'eIS@ns'A:poUz
aposdictionaryapos	a#p@sd'IkS@n,A@r-I;'A:poUz
aposdied	a#p'0sdId
aposem	a#p'oUs@m
aposflukeapos	a#p,0sflu:k'i:poUz
aposhangapos	a#p,0Sa#Ng'A:poUz
aposhomeapos	a#p,0SoUm'A:poUz
aposhow	a#p'0SoU
aposhydroponicsapos	a#p,0SaIdr,0p@nIks'A:poUz
aposkindapos	a#p,0skaInd'A:poUz
aposmarksalotapos	a#p,0zmA@ks,al@t'A:poUz
aposnewerapos	a#p,0snju:3r'A:poUz
aposnot	a#p'0sn0t
aposparanormalsupernaturalapos	a#p,0spa#r,ano@m,alsu:p3n,atS@ra#l'A:poUz
aposrandomapos	a#p,0sra#nd@m'A:poUz
aposrandomnessapos	a#p,0sra#nd,0mnI2s'A:poUz
aposrun	a#p'0srVn
aposs	a#p'0s
apossexapos	a#p,0sI2ks'A:poUz
apostleits	a#p'0stleIts
apostroubleapos	a#p,0str@bl'i:poUz
aposuglyapos	a#p,0s@glI;'A:poUz
aposwhen	a#p'0sw@n
appalled	a#p'O:ld
apparently	a#p'ar@ntli
appeal	a#p'i:l
appealing	a#p'i:lIN
appear	a#p'i@3
appearance	a#p'i@3r-@ns
appeared	a#p'i@3d
appearing	a#p'i@3r-IN
appears	a#p'i@3z
appetite	'apI2t,aIt
appitite	a#p'ItaIt
applaud	a#pl'O:d
apple	'ap@L
applebees	'ap@Lb,i:z
apples	'ap@Lz
applicable	a#pl'Ik@b@L
applicants	'aplIk@nts
applied	a#pl'aId
appliences	a#pl'i@nsI2z
applies	a#pl'aIz
apply	a#pl'aI
appointment	a#p'OIntm@nt
appointments	a#p'OIntm@nts
appologise	a#p'0l@dZ,aIz
appreciate	a#pr'i:SI2;,eIt
appreciated	a#pr'i:SI2;,eItI2d
appricated	a#prI2k'eItI2d
appriciates	a#pr'ISI2;,eIts
approach	a#pr'oUtS
approachable	a#pr'oUtS@b@L
approaches	a#pr'oUtSI2z
appropiate	a#pr'oUpI2;,eIt
appropriate	a#pr'oUprI;@t
approve	a#pr'u:v
approved	a#pr'u:vd
approving	a#pr'u:vIN
approximately	a#pr'0ksIm@tl,i
aprender	a#pr'End3
aprendi	a#pr'EndI
apriciate	eIpr'ISI2;,eIt
apriill	'eIprI;,Il
april	'eIpr@L
aprove	'eIpru:v
aqree	'akri:
aquarium	a#kw'e@ri@m
aquariumaposs	a#kw'e@ri@m,ap0s
aqui	'akwI
ar	'A@
arabic	'ara#b,Ik
arc	'A@k
arch	'A@tS
are	'A@
area	'e@ri@
aready	'e@ri@di
areas	'e@ri@z
arebu	'arI2b,u:
aree	'ari:
arehmm	'areIm
arenapost	'arI2n,ap0st
arent	'ar@nt
areopostale	'arI2;,0poUst,eIl
arer	'ar3
arewere	'aru:3
arez	@r'Ez
argh	'A@g
arghh	'A@g
argue	'A@gju:
arguing	'A@gju:IN
argument	'A@gju:m@nt
argumentative	,A@gju:m'Ent@t,Iv
ariel	'ari:;@L
aries	'e@ri:z
arizona	,arIz'oUn@
arkansas	'A@k@ns,O:
arm	'A@m
armpit	'A@mpIt
armr	'A@m3
arms	'A@mz
army	'A@mi
arnold	'A@noUld
arnt	'A@nt
aroud	a#r'aUd
around	a#r'aUnd
aroundbecause	a#r'aUndbI2k,O:z
aroundcontemplating	a#r'aUndk@nt,EmpleItIN
aroundhuh	a#r'aUndhV
aroundmy	a#r'aUndmi
aroundquot	a#r'aUndkw0t
arounf	a#r'aUnf
arrange	a#r'eIndZ
arranged	a#r'eIndZd
arrangement	a#r'eIndZm@nt
arranges	a#r'eIndZI2z
arrest	a#r'Est
arrested	a#r'EstI2d
arrg	'a@g
arron	'ar@n
arrugh	a#r'Vg
arse	'A@s
art	'A@t
article	'A@tIk@L
artist	'A@tIst
artista	'A@tIst@
artists	'A@tIsts
arts	'A@ts
artwork	'A@tw3:k
artyest	'A@tI;@st
aruba	ar'u:b@
ary	'A@r-i
as	'az
asap	,eI,Es,eIp'i:
asda	'azd@
asdah	'azd@
asgeir	a#sdZ'e@
ash	'aS
ashamed	a#S'eImd
ashed	'aSt
ashely	'aSli
ashelyy	'aSI2lI;i
ashh	'aS
ashlee	'aSli:
ashleeive	'aSli:;,Iv
ashleigh	'aSli:
ashleighkmartin	'aSli:km,A@tIn
ashley	'aSlI
ashleys	'aSlIz
asi	a#s'i
asian	'eIS@n
asianchikety	'eIS@ntS,aIkti
asianss	'eIS@ns
aside	a#s'aId
ask	'aask
askaposd	'aaska#p,0sd
askdd	'aaskd
asked	'aaskt
asken	'aask@n
asker	'aask3
askin	'aaskIn
asking	'aaskIN
askinqq	'aaskInk
askk	'aask
asks	'aasks
asleep	a#sl'i:p
asleepquot	a#sl'i:pkw0t
aspect	'aspEkt
aspecto	asp'EktoU
aspects	'aspEkts
aspire	a#sp'aI@
asr	'as3
ass	'as
assall	a#s'O:l
assassinated	a#s'asI2n,eItI2d
asscheeks	a#stS'i:ks
assed	'ast
asses	'asI2z
asset	'asEt
asshole	'ashoUl
assign	a#s'aIn
asskk	'ask
asslee	a#sl'i:
associatesyears	a#s'oUsI;,eItsji@3z
assr	'as3
assume	a#s'u:m
assuming	a#s'u:mIN
assumptionsr	a#s'VmpS@ns3
asswhole	a#sh'oUl
asteem	a#st'i:m
asteroid	'aast3r,OId
asthma	'asm@
astonr	a#st'0n3
astray	a#str'eI
astrological	a#str@l'0dZIk@L
astronauts	'astr@n,O:ts
asudden	a#s'Vd@n
aswell	a#sw'El
aswesome	a#sw'IsVm
asz	'asz
at	'at
ate	'eIt
atewhat	'eItw0t
athaha	aT'A:h@
athe	'eID
atheist	'eITI2;,Ist
atheists	'eITI2;,Ists
athiest	'aTI;@st
athlete	'aTli:t
athletesmusiciansactors	,aTlI2t,Esmju:z'IS@ns,akt3z
athletic	aTl'EtIk
atl	'at@L
atlanta	a#tl'ant@
atleast	'atli:st
atm	,eIt,i:;'Em
atmd	'atmd,i:
atmosphere	'atm@sf,i@3
atms	'at@mz
atoms	'at@mz
atrocious	a#tr'oUS@s
attached	a#t'atSt
attachedpieces	a#t'aSI2dp,i:sI2z
attachment	a#t'atSm@nt
attack	a#t'ak
attackd	a#t'akd
attacked	a#t'akt
attacking	a#t'akIN
attempt	a#t'Empt
attempts	a#t'Empts
attend	a#t'End
attended	a#t'EndI2d
attending	a#t'EndIN
attention	a#t'EnS@n
attic	'atIk
attitude	'atItj,u:d
attitudes	'atItj,u:dz
attract	a#tr'akt
attracted	a#tr'aktI2d
attraction	a#tr'akS@n
attractive	a#tr'aktIv
attracts	a#tr'akts
attribute	'atrIbj,u:t
aubrie	'O:bri
auckland	'O:kl@nd
audience	'O:di@ns
audiologist	,O:dI2;'0l@dZ,Ist
audrey	'O:drI
audreyquot	'O:drIkw,0t
aug	'O:g
august	'O:g@st
aujala	O:dZ'A:l@
aujalaa	'O:dZa#l,A:
aujalas	O:dZ'A:l@z
aujula	'O:dZu:l@
aunt	'aant
auntuncle	'aantVNk@L
aunty	'aanti
auntys	'aantIz
aus	'oUz
ause	'O:z
ausie	'O:si
aussie	'0zi
aussies	'O:sIz
aust	'O:st
austin	'O:stIn
austins	'O:stInz
austraila	0str'eIl@
austrailan	'0streIl,an
australia	0str'eIli@
australiaapos	,0streIlI;'A:poUz
australian	0str'eIli@n
australians	0str'eIli@nz
author	'O:T3
auto	'O:toU
autoban	,O:toUb'an
autograph	'O:t@gr,af
automatic	,O:t@m'atIk
automatically	,O:t@m'atIkli
autumn	'O:tVm
available	a#v'eIl@b@L
avant	'av@nt
avatar	'ava#t,A@
aver	'av3
average	'av@-rI2dZ
averaged	'av@-rI2dZd
avlarios	avl'A@r-I2;,oUz
avoid	a#v'OId
avoiding	a#v'OIdIN
aw	'O:
await	a#w'eIt
awaiting	a#w'eItIN
awake	a#w'eIk
award	a#w'O@d
awards	a#w'O@dz
aware	a#w'e@
awareness	a#w'e@n@s
away	a#w'eI
awaybut	a#w'eIbVt
awayr	a#w'eIr
awaywhere	a#w'eIwe@
awayy	a#w'eIi
awe	'O:
awee	'awi:
awesome	'O:sVm
awesomee	'O:soUm,i:
awesomei	'O:soUm,aI
awesomely	'O:sVmli
awesomeness	'O:sVmn@s
awesomestt	'O:soUmst
awful	'O:f@L
awfully	'O:f@lI
awh	'O:
awhh	'O:
awhile	a#w'aIl
awhiler	a#w'aIl3
awkward	'O:kw3d
awkwardness	'O:kw3dn@s
awr	'aU@
awraw	'O:rO:
awrawr	'O:raU@
awsome	'O:sVm
awsomee	'O:soUm,i:
awsum	'O:s@m
awsumness	'O:s@mn@s
aww	'O:w@
awwed	'O:w@d
awwesome	'O:wIs,Vm
awweyy	'O:waIi
awwh	'O:U
awwhh	'O:U
awwhhaa	'O:whA:
awwhhthank	'O:whTaNk
awwnever	'O:wnEv3
awws	'O:w@z
awwu	'O:wu:
axe	'aks
ay	'aI
aye	'aI
ayee	'aIi:
ayeeyu	'aIi:j,u:
